paper,figure_panel_series,target_entity,target_entity_class,quantity,species,value,unit,source_evidence,evidence_locator,source_kind,assertion_status,evidence_kind,expected_scope,bound_at_scope,mention_recovered,assertion_created,applicability_resolved,binding_status,resolved_output_status,inherited_by_case,recipe_status,kb_status,kg_status,canonical_status,first_missing_stage
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F1d/<single>,10.1002_admi.202000318-E003,ExperimentSeries,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/10s Ozone,10.1002_admi.202000318-E004,MultiOutputMeasurement,exposure,O3,10,s,10s,series label '10s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/10s Ozone,10.1002_admi.202000318-E004,MultiOutputMeasurement,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/10s Ozone,10.1002_admi.202000318-E004,MultiOutputMeasurement,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/10s Ozone,10.1002_admi.202000318-E004,MultiOutputMeasurement,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/10s Ozone,10.1002_admi.202000318-E004,MultiOutputMeasurement,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/10s Ozone,10.1002_admi.202000318-E004,MultiOutputMeasurement,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/60s Ozone,10.1002_admi.202000318-E005,MultiOutputMeasurement,exposure,O3,60,s,60s,series label '60s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/60s Ozone,10.1002_admi.202000318-E005,MultiOutputMeasurement,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/60s Ozone,10.1002_admi.202000318-E005,MultiOutputMeasurement,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/60s Ozone,10.1002_admi.202000318-E005,MultiOutputMeasurement,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/60s Ozone,10.1002_admi.202000318-E005,MultiOutputMeasurement,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/60s Ozone,10.1002_admi.202000318-E005,MultiOutputMeasurement,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/100s Ozone,10.1002_admi.202000318-E006,MultiOutputMeasurement,exposure,O3,100,s,100s,series label '100s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/100s Ozone,10.1002_admi.202000318-E006,MultiOutputMeasurement,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/100s Ozone,10.1002_admi.202000318-E006,MultiOutputMeasurement,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/100s Ozone,10.1002_admi.202000318-E006,MultiOutputMeasurement,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/100s Ozone,10.1002_admi.202000318-E006,MultiOutputMeasurement,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/100s Ozone,10.1002_admi.202000318-E006,MultiOutputMeasurement,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/120s Ozone,10.1002_admi.202000318-E007,MultiOutputMeasurement,exposure,O3,120,s,120s,series label '120s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/120s Ozone,10.1002_admi.202000318-E007,MultiOutputMeasurement,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/120s Ozone,10.1002_admi.202000318-E007,MultiOutputMeasurement,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/120s Ozone,10.1002_admi.202000318-E007,MultiOutputMeasurement,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F2a/120s Ozone,10.1002_admi.202000318-E007,MultiOutputMeasurement,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F2a/120s Ozone,10.1002_admi.202000318-E007,MultiOutputMeasurement,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,"F2a/120s Ozone, x10 TBF",10.1002_admi.202000318-E008,MultiOutputMeasurement,exposure,O3,120,s,120s,"series label '120s Ozone, x10 TBF' (axis 'ozone exposure time')",series_label,direct,experimental_condition,series,series,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,"F2a/120s Ozone, x10 TBF",10.1002_admi.202000318-E008,MultiOutputMeasurement,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,"F2a/120s Ozone, x10 TBF",10.1002_admi.202000318-E008,MultiOutputMeasurement,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,"F2a/120s Ozone, x10 TBF",10.1002_admi.202000318-E008,MultiOutputMeasurement,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,"F2a/120s Ozone, x10 TBF",10.1002_admi.202000318-E008,MultiOutputMeasurement,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,"F2a/120s Ozone, x10 TBF",10.1002_admi.202000318-E008,MultiOutputMeasurement,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Reflectivity,10.1002_admi.202000318-E009,MultiOutputMeasurement,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Reflectivity,10.1002_admi.202000318-E009,MultiOutputMeasurement,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F4a/Reflectivity,10.1002_admi.202000318-E009,MultiOutputMeasurement,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,present,present,present,present,
10.1002_admi.202000318,F4a/Reflectivity,10.1002_admi.202000318-E009,MultiOutputMeasurement,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Reflectivity,10.1002_admi.202000318-E009,MultiOutputMeasurement,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Single Layer Model,10.1002_admi.202000318-E010,ModelSweep,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Single Layer Model,10.1002_admi.202000318-E010,ModelSweep,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Single Layer Model,10.1002_admi.202000318-E010,ModelSweep,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Single Layer Model,10.1002_admi.202000318-E010,ModelSweep,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Single Layer Model,10.1002_admi.202000318-E010,ModelSweep,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Bilayer Model,10.1002_admi.202000318-E011,ModelSweep,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Bilayer Model,10.1002_admi.202000318-E011,ModelSweep,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Bilayer Model,10.1002_admi.202000318-E011,ModelSweep,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Bilayer Model,10.1002_admi.202000318-E011,ModelSweep,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4a/Bilayer Model,10.1002_admi.202000318-E011,ModelSweep,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: model_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4b/Electron Density,10.1002_admi.202000318-E012,SimulationRun,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: simulation),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4b/Electron Density,10.1002_admi.202000318-E012,SimulationRun,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: simulation),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4b/Electron Density,10.1002_admi.202000318-E012,SimulationRun,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: simulation),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4b/Electron Density,10.1002_admi.202000318-E012,SimulationRun,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: simulation),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F4b/Electron Density,10.1002_admi.202000318-E012,SimulationRun,pulse_time,,10,s,pulses of 10 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: simulation),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/100s Ozone,10.1002_admi.202000318-E013,ExperimentSeries,exposure,O3,100,s,100s,series label '100s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/100s Ozone,10.1002_admi.202000318-E013,ExperimentSeries,pulse_time,,30,s,exposure of 30 s,document.md near Fig 6,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/100s Ozone,10.1002_admi.202000318-E013,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/100s Ozone,10.1002_admi.202000318-E013,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/100s Ozone,10.1002_admi.202000318-E013,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/100s Ozone,10.1002_admi.202000318-E013,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/60s Ozone,10.1002_admi.202000318-E014,ExperimentSeries,exposure,O3,60,s,60s,series label '60s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/60s Ozone,10.1002_admi.202000318-E014,ExperimentSeries,pulse_time,,30,s,exposure of 30 s,document.md near Fig 6,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/60s Ozone,10.1002_admi.202000318-E014,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/60s Ozone,10.1002_admi.202000318-E014,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/60s Ozone,10.1002_admi.202000318-E014,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/60s Ozone,10.1002_admi.202000318-E014,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/20s Ozone,10.1002_admi.202000318-E015,ExperimentSeries,exposure,O3,20,s,20s,series label '20s Ozone' (axis 'ozone exposure time'),series_label,direct,experimental_condition,series,series,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/20s Ozone,10.1002_admi.202000318-E015,ExperimentSeries,pulse_time,,30,s,exposure of 30 s,document.md near Fig 6,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/20s Ozone,10.1002_admi.202000318-E015,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/20s Ozone,10.1002_admi.202000318-E015,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/20s Ozone,10.1002_admi.202000318-E015,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6a/20s Ozone,10.1002_admi.202000318-E015,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6b/Fraction γ Phase,10.1002_admi.202000318-E016,ExperimentSeries,pulse_time,,30,s,exposure of 30 s,document.md near Fig 6,body,direct,experimental_condition,figure,figure,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6b/Fraction γ Phase,10.1002_admi.202000318-E016,ExperimentSeries,working_pressure,,750,mtorr,working pressure of 750mtorr,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6b/Fraction γ Phase,10.1002_admi.202000318-E016,ExperimentSeries,deposition_temperature,,220,°C,substrate temperature was held at 220°C,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6b/Fraction γ Phase,10.1002_admi.202000318-E016,ExperimentSeries,flow_rate,N2,50,sCCM,flow rate of 50 sCCM,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_admi.202000318,F6b/Fraction γ Phase,10.1002_admi.202000318-E016,ExperimentSeries,purge_time,,30,s,purge times of 30 s,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,entity_only(no case: discrete_experimental_sweep),,not_a_recipe_field,present,present,present,
10.1002_celc.201600139,F1b/LTB:H2S,10.1002_celc.201600139-E000,ContinuousTrace,deposition_temperature,,150,°C,performed at 150 °C,figure 1 caption,caption,direct,experimental_condition,figure,figure,True,True,True,bound,present,True,present,present,present,present,
10.1002_celc.201600139,F1b/LTB:H2S,10.1002_celc.201600139-E000,ContinuousTrace,cycle_number,,3,cycle,3 ALD cycles,document.md near Fig 1,body,direct,experimental_condition,figure,figure,True,True,True,bound,present,True,present,present,present,present,
10.1002_celc.201600139,F1b/LTB:H2S,10.1002_celc.201600139-E000,ContinuousTrace,carrier_gas_partial_pressure,,1.2,Torr,flow rate of 252 sccm and a pressure of 1.2 Torr. The Li 2 S ALD [12] was performed by using alternating 5 s exposures t,methods section,methods,direct,experimental_condition,method,method,True,True,True,bound,present,True,not_a_recipe_field,present,present,present,
