paper_id,printed_figure,fig_docling_index,panel,series,condition_quantity,expected_value,expected_unit,evidence_text,evidence_source,value_status,expected_scope,figure_data_status,records_status,pressure_json_status,resolved_status,resolved_scope,recipe_status,kb_status,kg_status,first_failure_stage,responsible_code,failure_category
10.1016_j.sse.2022.108584,4,6,a,Arts 2019*,cycle_number,400,cycle,after 400 ALD cycles,in_text,reported,reference_series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,4,6,a,Arts 2019*,growth_per_cycle,1.12,Å/cycle,with a GPC of 1.12 Å,in_text,reported,reference_series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,5,7,a,Gamma_ev,measurand_identity,,,(a) Arrhenius analysis of β0 and Γev,caption,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,5,7,b,theta_sat,measurand_identity,,,θsat at z = L,caption,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,5,7,b,SC_sat,measurand_identity,,,and SCsat,caption,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,6,8,a,Ylilammi 2018,precursor_partial_pressure,325,mTorr,For Ylilammi et al. [9] ... we estimate pA = 325 mTorr,in_text,estimated,reference_series,absent,absent,EMPTY,absent,,n/a,n/a,n/a,10_pressure.py (pressure.json empty),03_corpus/scripts/10_pressure.py (PILOT; not run corpus-wide),M
10.1016_j.sse.2022.108584,6,8,a,Arts 2019,pulse_time,0.4,s,"for Arts et al. [13], tp = 0.4 s",in_text,estimated,reference_series,absent,absent,n/a,absent,,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1016_j.sse.2022.108584,6,8,a,"Yim and Ylivaara 2020, t_p = 0.2 s",pulse_time,0.2,s,"legend 'Yim and Ylivaara 2020, t_p = 0.2 s'",legend,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,06_to_kb.to_experiments (series label not parsed into a condition),03_corpus/scripts/06_to_kb.py::to_experiments (series_ctrl only for numeric_sweep),A
10.1016_j.sse.2022.108584,7,9,a,"Yim and Ylivaara 2020, d = 2.0 µm",feature_width,2.0,µm,"legend 'Yim and Ylivaara 2020, d = 2.0 µm'",legend,reported,series,absent,absent,n/a,present,paper,n/a,n/a,n/a,,,
10.1016_j.sse.2022.108584,7,9,a,"Yim and Ylivaara 2020, d = 0.1 µm",feature_width,0.1,µm,"legend 'Yim and Ylivaara 2020, d = 0.1 µm'",legend,reported,series,absent,absent,n/a,absent,,n/a,n/a,n/a,06_to_kb.to_experiments (series label not parsed into a condition),03_corpus/scripts/06_to_kb.py::to_experiments (series_ctrl only for numeric_sweep),A
10.1039_d0cp03358h,methods,,,*,working_pressure,3,hPa,The process pressure was ca. 3 hPa.,methods,reported,paper,n/a,n/a,EMPTY,absent,,n/a,n/a,n/a,10_pressure.py (pressure.json empty),03_corpus/scripts/10_pressure.py (PILOT; not run corpus-wide),M
10.1039_d0cp03358h,methods,,,*,cycle_number,500,cycle,typically ca. 50 nm made in 500 ALD cycles,methods,reported,paper,n/a,n/a,n/a,present,figure,n/a,n/a,n/a,,,
10.1039_d0cp03358h,methods,,,*,flow_rate,150,sccm,Nitrogen ... with a constant flow rate of 150 sccm,methods,reported,paper,n/a,n/a,n/a,absent,,n/a,n/a,n/a,06_to_kb.to_experiments,03_corpus/scripts/06_to_kb.py::to_experiments,H
10.1039_d0cp03358h,methods,,,*,carrier_gas,,,Nitrogen (purity 6.0) ... used as the carrier and purge gas,methods,reported,paper,n/a,n/a,n/a,absent,,n/a,n/a,n/a,06_to_kb.to_experiments,03_corpus/scripts/06_to_kb.py::to_experiments,H
10.1039_d0cp03358h,10,18,a,*,reactant_A_partial_pressure,65,Pa,p A0 = 65 Pa (A = TMA),caption,assumed_model_input,figure,absent,absent,EMPTY,absent,,n/a,n/a,n/a,10_pressure.py (pressure.json empty),03_corpus/scripts/10_pressure.py (PILOT; not run corpus-wide),M
10.1039_d0cp03358h,10,18,a,*,carrier_gas_partial_pressure,300,Pa,p B = 300 Pa (B = N2),caption,assumed_model_input,figure,present,present,EMPTY,absent,,n/a,n/a,n/a,10_pressure.py (pressure.json empty),03_corpus/scripts/10_pressure.py (PILOT; not run corpus-wide),M
10.1039_d0cp03358h,10,18,a,*,pulse_time,0.1,s,t P = 0.10 s,caption,assumed_model_input,figure,present,present,n/a,present,figure,n/a,n/a,n/a,,,
10.1039_d0cp03358h,11,19,a,0.1 s,pulse_time,0.1,s,different TMA pulse times,legend+caption,reported,series,absent,absent,n/a,present,experiment,n/a,n/a,n/a,,,
10.1039_d0cp03358h,11,19,b,4 s,purge_time,4,s,(b) purge times,legend+caption,reported,series,absent,absent,n/a,present,experiment,n/a,n/a,n/a,,,
10.1039_d0cp03358h,11,19,a,*,feature_height,500,nm,design channel height of 500 nm,caption,reported,figure,absent,absent,n/a,present_but_ambiguous,paper,n/a,n/a,n/a,05_figure_extract.py conditions{} / 06_to_kb (text never parsed),03_corpus/scripts/05_figure_extract.py::VISION_SCHEMA conditions{},B
10.1039_d0cp03358h,11,19,a,*,working_pressure,3,hPa,The process pressure was ca. 3 hPa.,methods,reported,paper,present,present,EMPTY,absent,,n/a,n/a,n/a,10_pressure.py (pressure.json empty),03_corpus/scripts/10_pressure.py (PILOT; not run corpus-wide),M
