_stratum,classification_method,condition_status,confidence,current_granularity,current_is_model_result,current_record_id,current_record_kind,current_relevance,current_series_id,current_source_kind,doi,duplicate_evidence_bindings,fallback_substitutions,fig_docling_index,figure_data_conditions,figure_image,first_failure_stage,ground_truth_basis,ground_truth_evidence_span,incorrect_conditions,kb_visible_conditions,manual_review_required,missing_conditions,over_broadcast_conditions,panel,paper_ground_truth_entity_kind,paper_id,pressure_in_caption,pressure_in_pressure_json,pressure_json_conditions,pressure_on_record_usable,printed_figure_number,recipe_conditions,record_id,records_conditions,resolved_conditions,responsible_code_path,root_cause_category,run_structure,sample_index,sample_or_run_id,sampling_stratum,series_label,source_caption,source_curve_n_points,source_pdf_page,supported_as_physical_experiment,underlying_case_key
condition_axis|experimental,heuristic,{},0.95,single,False,10.1002_celc.201600139-4a-S8-P005,series_member_experiment,experimental,10.1002_celc.201600139-4a-S8,vision-llm,10.1002_celc.201600139,,,11,{},figures/fig_11.png,06_to_kb.split_condition_series,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,,['cycle_number'],True,,,a,unknown,10.1002_celc.201600139,False,False,[],False,4,"{""ncycles"": 120}",10.1002_celc.201600139-4a-S8-P005,{},['cycle_number'],03_corpus/scripts/06_to_kb.py::split_condition_series,P,undetermined,11,,condition_axis|experimental,substrate: Pristine Cu,Figure 4. CE of Li deposition/striping in 4 m LiTFSI-DME with pristine Cu or 25 nm Li x Al y S-coated Cu.,29,,uncertain,10.1002_celc.201600139::F4::a::Pristine Cu
condition_axis|experimental,heuristic,{},0.95,single,False,10.1002_celc.201600139-4a-S9-P002,series_member_experiment,experimental,10.1002_celc.201600139-4a-S9,vision-llm,10.1002_celc.201600139,,,11,{},figures/fig_11.png,06_to_kb.split_condition_series,no explicit statement of run structure in the caption or the figure's body mentions; point count alone is not evidence,,,['cycle_number'],True,,,a,unknown,10.1002_celc.201600139,False,False,[],False,4,"{""ncycles"": 30}",10.1002_celc.201600139-4a-S9-P002,{},['cycle_number'],03_corpus/scripts/06_to_kb.py::split_condition_series,P,undetermined,12,,condition_axis|experimental,substrate: Li_xAl_yS coated Cu,Figure 4. CE of Li deposition/striping in 4 m LiTFSI-DME with pristine Cu or 25 nm Li x Al y S-coated Cu.,23,,uncertain,10.1002_celc.201600139::F4::a::Li_xAl_yS coated Cu
paper_level_record|experimental,metadata_inferred,{},0.6,single,False,10.1002_cnma.201700148-paper-0,paper_level_record,experimental,,,10.1002_cnma.201700148,,,,{},,none_detected,paper-level fallback record created when no figure data existed,,,['temperature'],False,,,,derived_representation,10.1002_cnma.201700148,False,False,[],False,,"{""temperature"": 80}",10.1002_cnma.201700148-paper-0,{},['temperature'],,,not_a_measured_curve,13,,paper_level_record|experimental,,,,,no,10.1002_cnma.201700148::FNone::-::0
condition_axis|experimental,caption_inferred,"{""temperature"": ""correctly_extracted_and_bound"", ""pressure"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-10a-S12-P028,series_member_experiment,experimental,10.1002_pssa.201532305-10a-S12,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,13,"{""temperature"": ""315 °C"", ""pressure"": ""0.15 mbar""}",figures/fig_13.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,,"['base_pressure', 'cycle_number', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,,"generic_pressure@paper:[1.0, 100.0, 1000.0]",a,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",True,10,"{""temperature"": 315.0, ""ncycles"": 362.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-10a-S12-P028,"{""temperature"": ""315 °C"", ""pressure"": ""0.15 mbar""}","['base_pressure', 'cycle_number', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,14,,condition_axis|experimental,,"Figure 10 In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise growth for individual cycles. Conditions: one ALD cycle consisted of 10 s H2 (100 sccm)/20 s Ar (purge)/0.1 s WF6 (2sccm)/30s Ar (purge). Other conditions: Ar-carrier gas /uniFB02 ow rate of 100 sccm and 50 sccm for H2 and WF6, respectively; hot-wire temperature of 1750 8 C; process pressure of 0.15 m",48,,no,10.1002_pssa.201532305::F10::a::0
condition_axis|experimental,caption_inferred,"{""temperature"": ""correctly_extracted_and_bound"", ""pressure"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-10a-S12-P032,series_member_experiment,experimental,10.1002_pssa.201532305-10a-S12,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,13,"{""temperature"": ""315 °C"", ""pressure"": ""0.15 mbar""}",figures/fig_13.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,,"['base_pressure', 'cycle_number', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,,"generic_pressure@paper:[1.0, 100.0, 1000.0]",a,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",True,10,"{""temperature"": 315.0, ""ncycles"": 374.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-10a-S12-P032,"{""temperature"": ""315 °C"", ""pressure"": ""0.15 mbar""}","['base_pressure', 'cycle_number', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,15,,condition_axis|experimental,,"Figure 10 In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise growth for individual cycles. Conditions: one ALD cycle consisted of 10 s H2 (100 sccm)/20 s Ar (purge)/0.1 s WF6 (2sccm)/30s Ar (purge). Other conditions: Ar-carrier gas /uniFB02 ow rate of 100 sccm and 50 sccm for H2 and WF6, respectively; hot-wire temperature of 1750 8 C; process pressure of 0.15 m",48,,no,10.1002_pssa.201532305::F10::a::0
condition_axis|experimental,caption_inferred,"{""temperature"": ""correctly_extracted_and_bound"", ""pressure"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-10a-S12-P039,series_member_experiment,experimental,10.1002_pssa.201532305-10a-S12,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,13,"{""temperature"": ""315 °C"", ""pressure"": ""0.15 mbar""}",figures/fig_13.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise,,"['base_pressure', 'cycle_number', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,,"generic_pressure@paper:[1.0, 100.0, 1000.0]",a,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",True,10,"{""temperature"": 315.0, ""ncycles"": 395.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-10a-S12-P039,"{""temperature"": ""315 °C"", ""pressure"": ""0.15 mbar""}","['base_pressure', 'cycle_number', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,16,,condition_axis|experimental,,"Figure 10 In-situ monitoring of HWALD growth in the linear regime by SE; the inset shows stepwise growth for individual cycles. Conditions: one ALD cycle consisted of 10 s H2 (100 sccm)/20 s Ar (purge)/0.1 s WF6 (2sccm)/30s Ar (purge). Other conditions: Ar-carrier gas /uniFB02 ow rate of 100 sccm and 50 sccm for H2 and WF6, respectively; hot-wire temperature of 1750 8 C; process pressure of 0.15 m",48,,no,10.1002_pssa.201532305::F10::a::0
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:1800 °C"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4a-S0-P008,series_member_experiment,experimental,10.1002_pssa.201532305-4a-S0,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'hot-wire temperature', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",a,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4a-S0-P008,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'hot-wire temperature', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,17,,condition_axis|experimental,hot-wire temperature: 1800 °C,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",25,,no,10.1002_pssa.201532305::F4::a::1800 °C
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:1910 °C"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4a-S2-P020,series_member_experiment,experimental,10.1002_pssa.201532305-4a-S2,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'hot-wire temperature', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",a,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4a-S2-P020,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'hot-wire temperature', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,18,,condition_axis|experimental,hot-wire temperature: 1910 °C,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",25,,no,10.1002_pssa.201532305::F4::a::1910 °C
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:50 sccm"": ""bound_with_wrong_quantity"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4b-S4-P000,series_member_experiment,experimental,10.1002_pssa.201532305-4b-S4,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",b,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4b-S4-P000,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,19,,condition_axis|experimental,H2 flow rate: H2 50 sccm,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",19,,no,10.1002_pssa.201532305::F4::b::H2 50 sccm
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:100 sccm"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4b-S5-P012,series_member_experiment,experimental,10.1002_pssa.201532305-4b-S5,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",b,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4b-S5-P012,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,20,,condition_axis|experimental,H2 flow rate: H2 100 sccm,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",19,,no,10.1002_pssa.201532305::F4::b::H2 100 sccm
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:10 sccm"": ""bound_with_wrong_quantity"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4c-S6-P001,series_member_experiment,experimental,10.1002_pssa.201532305-4c-S6,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",c,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4c-S6-P001,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,21,,condition_axis|experimental,WF6 flow rate: WF6 10 sccm,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",23,,no,10.1002_pssa.201532305::F4::c::WF6 10 sccm
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:10 sccm"": ""bound_with_wrong_quantity"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4d-S8-P007,series_member_experiment,experimental,10.1002_pssa.201532305-4d-S8,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",d,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4d-S8-P007,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,22,,condition_axis|experimental,Ar flow rate: Ar 10 sccm,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",21,,no,10.1002_pssa.201532305::F4::d::Ar 10 sccm
condition_axis|experimental,caption_inferred,"{""pressure"": ""hidden_by_fallback"", ""temperature"": ""correctly_extracted_and_bound"", ""legend:100 sccm"": ""correctly_extracted_and_bound"", ""generic_pressure"": ""incorrectly_broadcast""}",0.95,single,False,10.1002_pssa.201532305-4d-S9-P017,series_member_experiment,experimental,10.1002_pssa.201532305-4d-S9,vision-llm,10.1002_pssa.201532305,base_pressure=9.999999999999999e-06 x2;generic_pressure=100.0 x2,species,6,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}",figures/fig_6.png,06_to_kb.split_condition_series,caption states the data are in-situ monitoring of a single run,in-situ SE) versus different deposition parameters,,"['base_pressure', 'exposure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",False,pressure,"generic_pressure@paper:[1.0, 100.0, 1000.0]",d,measurement,10.1002_pssa.201532305,True,True,"[{""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""base_pressure"", ""value"": 1e-07, ""unit"": ""mbar"", ""context"": ""apparatus_setting"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 10, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 1, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""working_pressure"", ""value"": null, ""unit"": ""mbar"", ""context"": ""process_condition"", ""species"": null}, {""type"": ""generic_pressure"", ""value"": 0.01, ""unit"": ""mbar""",False,4,"{""temperature"": 325.0, ""carrier_gas"": {""species"": ""Ar""}}",10.1002_pssa.201532305-4d-S9-P017,"{""pressure"": ""0.01 mbar"", ""temperature"": ""325 °C""}","['base_pressure', 'exposure', 'generic_pressure', 'molecular_mass', 'precursor_molecular_diameter', 'temperature']",03_corpus/scripts/06_to_kb.py::split_condition_series,P,one_continuous_run,23,,condition_axis|experimental,Ar flow rate: Ar 100 sccm,"Figure 4 Film growth (obtained by in-situ SE) versus different deposition parameters. All long-time exposures to at-H were performed after a 1-min exposure to WF6 gas followed by a 2-min purge. Standard parameter values: 0.01 mbar of pressure, 325 8 Cof substrate temperature, 1860 8 C of hot-wire temperature, 100 sccm of H2, 10 sccm of WF6, 100sccm of H2-carrier gas (Ar), and 50 sccm WF6-carrier g",21,,no,10.1002_pssa.201532305::F4::d::Ar 100 sccm
paper_level_record|experimental,metadata_inferred,{},0.6,single,False,10.1007_s11671-010-9676-0-paper-0,paper_level_record,experimental,,,10.1007_s11671-010-9676-0,,species,,{},,none_detected,paper-level fallback record created when no figure data existed,,,['molecular_mass'],False,,,,derived_representation,10.1007_s11671-010-9676-0,False,False,[],False,,{},10.1007_s11671-010-9676-0-paper-0,{},['molecular_mass'],,,not_a_measured_curve,24,,paper_level_record|experimental,,,,,no,10.1007_s11671-010-9676-0::FNone::-::0
